iter	Passed	Remaining
208	1313	4971
209	1318	4961
210	1323	4949
211	1329	4940
212	1334	4929
213	1339	4918
214	1344	4908
215	1349	4898
216	1354	4888
217	1360	4878
218	1365	4868
219	1370	4858
220	1375	4849
221	1381	4840
222	1386	4830
223	1392	4823
224	1397	4814
225	1403	4806
226	1409	4798
227	1414	4790
228	1420	4781
229	1425	4773
230	1431	4764
231	1437	4757
232	1442	4748
233	1448	4740
234	1454	4733
235	1459	4726
236	1465	4718
237	1471	4710
238	1476	4701
239	1482	4694
240	1487	4685
241	1493	4679
242	1499	4672
243	1505	4664
244	1510	4656
245	1516	4649
246	1522	4641
247	1528	4634
248	1534	4627
249	1540	4620
250	1545	4611
251	1551	4604
252	1556	4596
253	1562	4588
254	1568	4581
255	1574	4575
256	1580	4568
257	1586	4561
258	1592	4555
259	1597	4548
260	1603	4541
261	1609	4534
262	1616	4528
263	1622	4522
264	1627	4514
265	1633	4508
266	1639	4501
267	1645	4495
268	1651	4489
269	1657	4482
270	1664	4476
271	1669	4469
272	1674	4460
273	1680	4453
274	1686	4446
275	1692	4439
276	1698	4433
277	1704	4426
278	1710	4419
279	1715	4412
280	1721	4405
281	1727	4398
282	1733	4391
283	1739	4384
284	1744	4377
285	1750	4370
286	1756	4363
287	1762	4356
288	1768	4350
289	1774	4343
290	1779	4336
291	1786	4330
292	1791	4323
293	1797	4316
294	1803	4309
295	1808	4301
296	1813	4293
297	1819	4286
298	1824	4278
299	1830	4271
300	1835	4263
301	1841	4256
302	1847	4249
303	1853	4243
304	1858	4235
305	1863	4227
306	1869	4220
307	1875	4214
308	1881	4207
309	1887	4201
310	1893	4195
311	1899	4189
312	1905	4182
313	1911	4175
314	1917	4168
315	1923	4162
316	1928	4155
317	1934	4148
318	1940	4142
319	1946	4135
320	1951	4128
321	1957	4121
322	1963	4116
323	1970	4110
324	1975	4103
325	1981	4097
326	1987	4090
327	1993	4083
328	1999	4077
329	2004	4070
330	2010	4064
331	2016	4056
332	2021	4049
333	2027	4042
334	2032	4035
335	2038	4027
336	2044	4021
337	2049	4015
338	2055	4007
339	2061	4000
340	2066	3993
341	2071	3986
342	2077	3979
343	2083	3972
344	2089	3966
345	2095	3960
346	2100	3953
347	2106	3945
348	2111	3938
349	2116	3930
350	2121	3922
351	2127	3916
352	2133	3910
353	2139	3903
354	2145	3897
355	2150	3890
356	2156	3883
357	2162	3877
358	2167	3870
359	2173	3863
360	2179	3857
361	2184	3850
362	2190	3843
363	2195	3836
364	2200	3828
365	2206	3821
366	2211	3814
367	2216	3806
368	2222	3799
369	2227	3792
370	2232	3785
371	2238	3778
372	2243	3771
373	2249	3764
374	2254	3758
375	2260	3751
376	2266	3744
377	2271	3738
378	2277	3730
379	2282	3723
380	2288	3717
381	2293	3710
382	2315	3730
383	2321	3723
384	2326	3716
385	2332	3710
386	2338	3703
387	2344	3697
388	2349	3690
389	2355	3683
390	2360	3677
391	2366	3670
392	2371	3663
393	2377	3656
394	2382	3649
395	2388	3642
396	2393	3635
397	2398	3628
398	2404	3621
399	2409	3614
400	2415	3607
401	2420	3601
402	2426	3594
403	2432	3588
404	2437	3580
405	2442	3574
406	2448	3567
407	2454	3561
408	2460	3554
409	2466	3548
410	2471	3541
411	2477	3535
412	2482	3528
413	2488	3522
414	2494	3515
415	2499	3509
416	2505	3502
417	2510	3495
418	2515	3488
419	2521	3481
420	2526	3475
421	2532	3468
422	2537	3461
423	2543	3455
424	2548	3448
425	2553	3441
426	2559	3434
427	2564	3427
428	2569	3420
429	2575	3414
430	2581	3407
431	2587	3401
432	2593	3395
433	2598	3389
434	2604	3382
435	2609	3375
436	2615	3369
437	2620	3362
438	2626	3355
439	2631	3349
440	2637	3342
441	2642	3336
442	2648	3329
443	2653	3323
444	2659	3316
445	2664	3310
446	2670	3304
447	2676	3297
448	2681	3291
449	2687	3284
450	2692	3278
451	2698	3271
452	2703	3264
453	2709	3258
454	2715	3252
455	2721	3246
456	2726	3239
457	2731	3232
458	2736	3225
459	2742	3218
460	2747	3212
461	2752	3205
462	2757	3198
463	2763	3192
464	2768	3185
465	2774	3179
466	2779	3172
467	2784	3165
468	2790	3158
469	2795	3152
470	2800	3145
471	2806	3138
472	2811	3132
473	2817	3126
474	2822	3119
475	2827	3112
476	2832	3105
477	2837	3098
478	2842	3091
479	2847	3084
480	2852	3077
481	2857	3071
482	2863	3065
483	2869	3058
484	2874	3052
485	2880	3046
486	2886	3040
487	2892	3034
488	2897	3027
489	2902	3021
490	2908	3015
491	2913	3008
492	2919	3002
493	2924	2995
494	2930	2989
495	2936	2983
496	2942	2977
497	2948	2971
498	2954	2965
499	2960	2960
500	2966	2954
501	2972	2948
502	2978	2943
503	2984	2937
504	2990	2931
505	2996	2925
506	3002	2919
507	3007	2913
508	3013	2907
509	3019	2900
510	3025	2895
511	3030	2888
512	3036	2882
513	3042	2876
514	3047	2869
515	3053	2863
516	3058	2857
517	3064	2851
518	3069	2845
519	3075	2838
520	3080	2832
521	3086	2826
522	3092	2820
523	3097	2813
524	3103	2807
525	3109	2801
526	3115	2796
527	3120	2789
528	3126	2784
529	3134	2779
530	3139	2773
531	3145	2767
532	3151	2761
533	3157	2755
534	3163	2749
535	3169	2743
536	3175	2738
537	3181	2732
538	3187	2726
539	3192	2719
540	3198	2713
541	3204	2707
542	3209	2701
543	3215	2694
544	3220	2689
545	3226	2682
546	3232	2676
547	3237	2670
548	3242	2664
549	3248	2657
550	3253	2651
551	3259	2645
552	3264	2638
553	3270	2632
554	3275	2626
555	3281	2620
556	3286	2614
557	3292	2607
558	3297	2601
559	3303	2595
560	3309	2589
561	3315	2583
562	3321	2578
563	3327	2572
564	3332	2565
565	3338	2559
566	3343	2553
567	3349	2547
568	3355	2541
569	3360	2535
570	3366	2529
571	3372	2523
572	3377	2517
573	3383	2511
574	3388	2504
575	3395	2499
576	3400	2493
577	3406	2487
578	3412	2481
579	3417	2474
580	3422	2468
581	3428	2462
582	3434	2456
583	3439	2450
584	3444	2443
585	3449	2437
586	3454	2430
587	3460	2424
588	3465	2418
589	3471	2412
590	3477	2406
591	3482	2400
592	3488	2394
593	3494	2388
594	3499	2381
595	3504	2375
596	3510	2369
597	3516	2363
598	3522	2357
599	3527	2351
600	3533	2345
601	3538	2339
602	3544	2333
603	3549	2327
604	3555	2321
605	3561	2315
606	3567	2309
607	3573	2303
608	3578	2297
609	3583	2291
610	3588	2284
611	3593	2278
612	3598	2272
613	3604	2265
614	3609	2259
615	3614	2253
616	3620	2247
617	3624	2240
618	3630	2234
619	3635	2228
620	3641	2222
621	3647	2216
622	3652	2210
623	3658	2204
624	3663	2198
625	3668	2191
626	3674	2185
627	3680	2180
628	3685	2173
629	3690	2167
630	3695	2161
631	3701	2155
632	3706	2149
633	3712	2143
634	3718	2137
635	3723	2131
636	3729	2125
637	3734	2118
638	3740	2112
639	3745	2106
640	3751	2100
641	3756	2094
642	3762	2089
643	3767	2082
644	3772	2076
645	3778	2070
646	3783	2064
647	3789	2058
648	3794	2052
649	3800	2046
650	3805	2040
651	3810	2033
652	3816	2027
653	3821	2021
654	3826	2015
655	3832	2009
656	3838	2003
657	3843	1997
658	3849	1991
659	3855	1986
660	3861	1980
661	3866	1974
662	3872	1968
663	3878	1962
664	3884	1956
665	3889	1950
666	3895	1944
667	3901	1938
668	3906	1932
669	3911	1926
670	3917	1920
671	3922	1914
672	3928	1908
673	3933	1902
674	3939	1896
675	3944	1890
676	3950	1884
677	3956	1879
678	3962	1873
679	3968	1867
680	3974	1861
681	3980	1856
682	3986	1850
683	3991	1844
684	3997	1838
685	4003	1832
686	4009	1826
687	4014	1820
688	4020	1814
689	4025	1808
690	4031	1802
691	4036	1796
692	4042	1790
693	4047	1784
694	4052	1778
695	4057	1772
696	4063	1766
697	4068	1760
698	4074	1754
699	4079	1748
700	4084	1742
701	4090	1736
702	4095	1730
703	4101	1724
704	4106	1718
705	4112	1712
706	4117	1706
707	4123	1700
708	4128	1694
709	4134	1688
710	4139	1682
711	4145	1676
712	4151	1670
713	4156	1665
714	4162	1659
715	4168	1653
716	4173	1647
717	4179	1641
718	4184	1635
719	4190	1629
720	4195	1623
721	4201	1617
722	4206	1611
723	4211	1605
724	4217	1599
725	4222	1593
726	4227	1587
727	4232	1581
728	4237	1575
729	4243	1569
730	4248	1563
731	4253	1557
732	4258	1551
733	4264	1545
734	4270	1539
735	4276	1533
736	4281	1527
737	4287	1522
738	4292	1516
739	4298	1510
740	4304	1504
741	4309	1498
742	4315	1492
743	4321	1486
744	4327	1481
745	4332	1475
746	4338	1469
747	4344	1463
748	4349	1457
749	4355	1451
750	4361	1445
751	4366	1440
752	4372	1434
753	4377	1428
754	4382	1422
755	4388	1416
756	4393	1410
757	4399	1404
758	4404	1398
759	4409	1392
760	4414	1386
761	4419	1380
762	4425	1374
763	4431	1368
764	4436	1362
765	4442	1357
766	4448	1351
767	4453	1345
768	4459	1339
769	4465	1333
770	4470	1327
771	4476	1322
772	4482	1316
773	4487	1310
774	4493	1304
775	4499	1298
776	4504	1292
777	4510	1286
778	4515	1281
779	4521	1275
780	4526	1269
781	4531	1263
782	4537	1257
783	4543	1251
784	4549	1246
785	4555	1240
786	4561	1234
787	4567	1228
788	4572	1222
789	4578	1217
790	4584	1211
791	4589	1205
792	4595	1199
793	4600	1193
794	4606	1187
795	4611	1181
796	4617	1176
797	4622	1170
798	4628	1164
799	4633	1158
800	4639	1152
801	4645	1146
802	4650	1141
803	4656	1135
804	4662	1129
805	4667	1123
806	4673	1117
807	4679	1111
808	4684	1106
809	4690	1100
810	4695	1094
811	4700	1088
812	4705	1082
813	4711	1076
814	4716	1070
815	4722	1064
816	4727	1058
817	4732	1052
818	4737	1047
819	4743	1041
820	4749	1035
821	4755	1029
822	4760	1023
823	4766	1018
824	4772	1012
825	4778	1006
826	4783	1000
827	4789	994
828	4795	989
829	4801	983
830	4807	977
831	4812	971
832	4818	965
833	4823	960
834	4829	954
835	4834	948
836	4840	942
837	4845	936
838	4851	931
839	4857	925
840	4863	919
841	4869	913
842	4874	907
843	4880	902
844	4886	896
845	4891	890
846	4897	884
847	4902	878
848	4907	872
849	4913	867
850	4918	861
851	4924	855
852	4929	849
853	4935	843
854	4940	837
855	4946	832
856	4952	826
857	4958	820
858	4964	814
859	4969	808
860	4974	803
861	4980	797
862	4986	791
863	4991	785
864	4997	779
865	5002	774
866	5008	768
867	5013	762
868	5019	756
869	5024	750
870	5030	744
871	5035	739
872	5041	733
873	5046	727
874	5051	721
875	5057	715
876	5062	710
877	5067	704
878	5072	698
879	5077	692
880	5083	686
881	5089	680
882	5094	675
883	5100	669
884	5105	663
885	5111	657
886	5116	651
887	5122	646
888	5128	640
889	5133	634
890	5139	628
891	5144	622
892	5150	617
893	5155	611
894	5161	605
895	5166	599
896	5172	593
897	5177	588
898	5183	582
899	5189	576
900	5194	570
901	5199	564
902	5205	559
903	5210	553
904	5215	547
905	5221	541
906	5227	535
907	5232	530
908	5238	524
909	5243	518
910	5249	512
911	5254	507
912	5260	501
913	5266	495
914	5271	489
915	5277	483
916	5282	478
917	5288	472
918	5293	466
919	5299	460
920	5304	455
921	5310	449
922	5315	443
923	5321	437
924	5326	431
925	5331	426
926	5337	420
927	5343	414
928	5349	408
929	5354	403
930	5360	397
931	5366	391
932	5371	385
933	5377	379
934	5382	374
935	5388	368
936	5393	362
937	5399	356
938	5404	351
939	5410	345
940	5415	339
941	5421	333
942	5427	328
943	5432	322
944	5438	316
945	5444	310
946	5450	305
947	5455	299
948	5461	293
949	5467	287
950	5473	282
951	5479	276
952	5485	270
953	5491	264
954	5497	259
955	5502	253
956	5508	247
957	5513	241
958	5519	235
959	5524	230
960	5530	224
961	5536	218
962	5542	212
963	5548	207
964	5553	201
965	5559	195
966	5566	189
967	5572	184
968	5578	178
969	5583	172
970	5589	166
971	5595	161
972	5601	155
973	5607	149
974	5612	143
975	5617	138
976	5623	132
977	5628	126
978	5634	120
979	5640	115
980	5645	109
981	5651	103
982	5657	97
983	5662	92
984	5668	86
985	5673	80
986	5679	74
987	5684	69
988	5690	63
989	5696	57
990	5702	51
991	5708	46
992	5713	40
993	5719	34
994	5725	28
995	5731	23
996	5736	17
997	5742	11
998	5748	5
999	5754	0
